종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","의료·정밀기기","1605","-23","-1.41","85159759200"
"054620","APS","KOSDAQ","금융","4045","-70","-1.70","74404623945"
"265520","AP시스템","KOSDAQ","기계·장비","19010","-810","-4.09","286116107210"
"211270","AP위성","KOSDAQ","전기·전자","11210","-470","-4.02","169072627840"
"139050","BF랩스","KOSDAQ","IT 서비스","2805","0","0.00","24247965555"
"126600","BGF에코머티리얼즈","KOSDAQ","화학","3720","40","1.09","233492864280"
"083790","CG인바이츠","KOSDAQ","일반서비스","1501","-58","-3.72","115418167182"
"035760","CJ ENM","KOSDAQ","오락·문화","61600","0","0.00","1350835886400"
"311690","CJ 바이오사이언스","KOSDAQ","일반서비스","9550","-150","-1.55","124775162100"
"051500","CJ프레시웨이","KOSDAQ","유통","28000","-50","-0.18","332404408000"
"058820","CMG제약","KOSDAQ","제약","1955","-21","-1.06","289031467765"
"056730","CNT85","KOSDAQ","건설","642","8","1.26","47579381412"
"065770","CS","KOSDAQ","전기·전자","811","2","0.25","15742426430"
"083660","CSA 코스믹","KOSDAQ","화학","559","0","0.00","35121667581"
"477760","DB금융스팩12호","KOSDAQ","금융","2100","-5","-0.24","12264000000"
"099520","DGI","KOSDAQ","전기·전자","1284","0","0.00","58141862016"
"290120","DH오토리드","KOSDAQ","운송장비·부품","2400","-30","-1.23","37978197600"
"025440","DH오토웨어","KOSDAQ","전기·전자","744","-6","-0.80","36293230656"
"068790","DMS","KOSDAQ","기계·장비","6330","0","0.00","149939488590"
"241520","DSC인베스트먼트","KOSDAQ","금융","7020","-240","-3.31","189540000000"
"180400","DXVX","KOSDAQ","일반서비스","1676","-51","-2.95","82491768032"
"418620","E8","KOSDAQ","IT 서비스","1621","3","0.19","20830623217"
"245620","EDGC","KOSDAQ","일반서비스","415","0","0.00","57474989665"
"037370","EG","KOSDAQ","화학","5570","-90","-1.59","48041094040"
"050120","ES큐브","KOSDAQ","유통","3155","165","5.52","42794691330"
"214270","FSN","KOSDAQ","IT 서비스","1856","-94","-4.82","81090419904"
"130500","GH신소재","KOSDAQ","섬유·의류","2490","-15","-0.60","36217179480"
"900290","GRT","KOSDAQ","금융","3180","-70","-2.15","257103000000"
"083450","GST","KOSDAQ","기계·장비","22900","-1550","-6.34","422047000000"
"297890","HB솔루션","KOSDAQ","기계·장비","2020","-75","-3.58","147744646280"
"440290","HB인베스트먼트","KOSDAQ","금융","2300","-10","-0.43","63264789000"
"078150","HB테크놀러지","KOSDAQ","기계·장비","1853","-48","-2.52","171802592348"
"225530","HC보광산업","KOSDAQ","비금속","2885","0","0.00","104837227395"
"060560","HC홈센타","KOSDAQ","유통","726","-1","-0.14","92688075150"
"195940","HK이노엔","KOSDAQ","제약","52200","-600","-1.14","1478820310200"
"028300","HLB","KOSDAQ","제약","46150","-900","-1.91","6085021026500"
"278650","HLB바이오스텝","KOSDAQ","일반서비스","1480","-40","-2.63","128768197720"
"067630","HLB생명과학","KOSDAQ","제약","3750","-70","-1.83","457188967500"
"024850","HLB이노베이션","KOSDAQ","전기·전자","1973","53","2.76","285169748976"
"187420","HLB제넥스","KOSDAQ","제약","2675","-130","-4.63","77938484350"
"047920","HLB제약","KOSDAQ","일반서비스","14850","-410","-2.69","487070436600"
"115450","HLB테라퓨틱스","KOSDAQ","유통","2830","-90","-3.08","238801804290"
"046210","HLB파나진","KOSDAQ","제약","1649","-38","-2.25","74413957982"
"196300","HLB펩","KOSDAQ","제약","7060","-190","-2.62","65611389880"
"403870","HPSP","KOSDAQ","기계·장비","28150","-700","-2.43","2350484689200"
"036640","HRS","KOSDAQ","화학","5520","-10","-0.18","90278496000"
"448760","IBKS제22호스팩","KOSDAQ","금융","5570","0","0.00","24675100000"
"467930","IBKS제23호스팩","KOSDAQ","금융","2215","-5","-0.23","9369450000"
"469480","IBKS제24호스팩","KOSDAQ","금융","2200","-30","-1.35","9306000000"
"095340","ISC","KOSDAQ","유통","98500","-4500","-4.37","2087910213000"
"950170","JTC","KOSDAQ","유통","3935","-45","-1.13","203621879380"
"067290","JW신약","KOSDAQ","제약","1892","392","26.13","100987630392"
"035900","JYP Ent.","KOSDAQ","오락·문화","68000","-500","-0.73","2416209456000"
"318000","KBG","KOSDAQ","화학","4520","-85","-1.85","39505807960"
"024840","KBI메탈","KOSDAQ","금속","1752","-9","-0.51","61160916648"
"024120","KB오토시스","KOSDAQ","운송장비·부품","3530","-65","-1.81","40595000000"
"455250","KB제25호스팩","KOSDAQ","금융","2095","0","0.00","9018975000"
"464680","KB제27호스팩","KOSDAQ","금융","2065","0","0.00","26648825000"
"478390","KB제29호스팩","KOSDAQ","금융","2050","-20","-0.97","12751000000"
"486630","KB제30호스팩","KOSDAQ","금융","2040","-5","-0.24","10832400000"
"492220","KB제31호스팩","KOSDAQ","금융","1990","-10","-0.50","12357900000"
"0037T0","KB제32호스팩","KOSDAQ","금융","1995","-5","-0.25","12628350000"
"0072Z0","KB제33호스팩","KOSDAQ","금융","1992","-3","-0.15","15706920000"
"021320","KCC건설","KOSDAQ","건설","5690","-20","-0.35","121766000000"
"044180","KD","KOSDAQ","건설","611","-14","-2.24","16324575189"
"046440","KG모빌리언스","KOSDAQ","IT 서비스","4860","-20","-0.41","184732497720"
"151860","KG에코솔루션","KOSDAQ","운송장비·부품","5940","-190","-3.10","282761831880"
"035600","KG이니시스","KOSDAQ","IT 서비스","10720","-40","-0.37","295383532480"
"226360","KH 건설","KOSDAQ","건설","2555","0","0.00","67617390260"
"111870","KH 미래물산","KOSDAQ","전기·전자","8910","0","0.00","62746456410"
"060720","KH바텍","KOSDAQ","전기·전자","11140","-430","-3.72","263766703880"
"058400","KNN","KOSDAQ","오락·문화","704","-7","-0.98","93230522880"
"101000","KS인더스트리","KOSDAQ","기계·장비","859","63","7.91","28730802918"
"089600","KT나스미디어","KOSDAQ","일반서비스","13120","-270","-2.02","151774298560"
"418470","KT밀리의서재","KOSDAQ","IT 서비스","13620","-230","-1.66","116666046180"
"043610","KT지니뮤직","KOSDAQ","오락·문화","1909","-16","-0.83","110942371142"
"122450","KX","KOSDAQ","오락·문화","3750","-70","-1.83","168074377500"
"052900","KX하이텍","KOSDAQ","화학","898","-6","-0.66","58706261488"
"036560","KZ정밀","KOSDAQ","기계·장비","15370","-90","-0.58","242077500000"
"061970","LB세미콘","KOSDAQ","전기·전자","3980","-90","-2.21","231170363880"
"309960","LB인베스트먼트","KOSDAQ","금융","5850","110","1.92","135820848150"
"225190","LK삼양","KOSDAQ","의료·정밀기기","1226","-20","-1.61","86394307440"
"060370","LS마린솔루션","KOSDAQ","건설","32750","-1200","-3.53","1710822468500"
"417200","LS머트리얼즈","KOSDAQ","전기·전자","13050","-540","-3.97","882867199950"
"078020","LS증권","KOSDAQ","금융","4850","-40","-0.82","269083771500"
"322180","LS티라유텍","KOSDAQ","IT 서비스","7280","-430","-5.58","152312043520"
"476080","M83","KOSDAQ","오락·문화","9740","-210","-2.11","78280380000"
"086960","MDS테크","KOSDAQ","IT 서비스","1316","-64","-4.64","127287762784"
"160550","NEW","KOSDAQ","오락·문화","2020","-30","-1.46","56370334120"
"053290","NE능률","KOSDAQ","오락·문화","1831","-2","-0.11","30259668117"
"060250","NHN KCP","KOSDAQ","금융","14650","-520","-3.43","588352951150"
"104200","NHN벅스","KOSDAQ","IT 서비스","2830","-110","-3.74","41961966500"
"063570","NICE인프라","KOSDAQ","일반서비스","4275","-65","-1.50","145981537200"
"222160","NPX","KOSDAQ","기계·장비","8040","0","0.00","79551289560"
"024940","PN풍년","KOSDAQ","유통","5670","-100","-1.73","56700000000"
"332570","PS일렉트로닉스","KOSDAQ","전기·전자","4940","-150","-2.95","216321246440"
"218410","RFHIC","KOSDAQ","전기·전자","31400","-950","-2.94","832208078800"
"327260","RF머트리얼즈","KOSDAQ","전기·전자","20150","100","0.50","169929604650"
"474610","RF시스템즈","KOSDAQ","금속","4315","-85","-1.93","57941051930"
"091340","S&K폴리텍","KOSDAQ","전기·전자","2325","0","0.00","27211151325"
"419530","SAMG엔터","KOSDAQ","오락·문화","41550","-3800","-8.38","404469098250"
"019550","SBI인베스트먼트","KOSDAQ","금융","718","-2","-0.28","116363800850"
"246960","SCL사이언스","KOSDAQ","제약","2500","-20","-0.79","84930777500"
"099220","SDN","KOSDAQ","유통","1117","-20","-1.76","72542838950"
"036540","SFA반도체","KOSDAQ","전기·전자","3920","-105","-2.61","644684387760"
"255220","SG","KOSDAQ","비금속","2695","-25","-0.92","276876799815"
"040610","SG&G","KOSDAQ","운송장비·부품","1844","-35","-1.86","62856789424"
"184230","SGA솔루션즈","KOSDAQ","IT 서비스","667","-8","-1.19","57275302006"
"016250","SGC E&C","KOSDAQ","건설","15230","80","0.53","76713296780"
"357880","SKAI","KOSDAQ","IT 서비스","1719","-37","-2.11","62014932792"
"048550","SM C&C","KOSDAQ","일반서비스","1275","-5","-0.39","123311140500"
"063440","SM Life Design","KOSDAQ","출판·매체복제","1830","-19","-1.03","84233351820"
"067160","SOOP","KOSDAQ","IT 서비스","68500","-800","-1.15","787391539500"
"289080","SV인베스트먼트","KOSDAQ","금융","1722","9","0.53","93481025820"
"013720","THE CUBE&","KOSDAQ","운송장비·부품","715","-6","-0.83","43492122245"
"089230","THE E&M","KOSDAQ","IT 서비스","1107","8","0.73","29460538971"
"032540","TJ미디어","KOSDAQ","전기·전자","5500","-20","-0.36","76623849500"
"048770","TPC","KOSDAQ","기계·장비","2530","-330","-11.54","39715917230"
"246690","TS인베스트먼트","KOSDAQ","금융","1340","-34","-2.47","55580335080"
"317240","TS트릴리온","KOSDAQ","화학","262","-4","-1.50","30341699144"
"057030","YBM넷","KOSDAQ","일반서비스","3070","-35","-1.13","50079979790"
"040300","YTN","KOSDAQ","오락·문화","4005","70","1.78","190946304900"
"051390","YW","KOSDAQ","유통","3930","40","1.03","44626596240"
"052220","iMBC","KOSDAQ","오락·문화","3075","-55","-1.76","70725000000"
"079940","가비아","KOSDAQ","IT 서비스","32950","3000","10.02","446000787800"
"078890","가온그룹","KOSDAQ","전기·전자","4820","-175","-3.50","86985923040"
"399720","가온칩스","KOSDAQ","전기·전자","46000","-1850","-3.87","533619320000"
"036620","감성코퍼레이션","KOSDAQ","유통","6460","-290","-4.30","584654360660"
"198440","강동씨앤엘","KOSDAQ","비금속","1121","-25","-2.18","68304655416"
"217730","강스템바이오텍","KOSDAQ","제약","1689","-8","-0.47","158857457661"
"114190","강원에너지","KOSDAQ","전기·전자","15210","-770","-4.82","397331407980"
"094480","갤럭시아머니트리","KOSDAQ","IT 서비스","9250","-400","-4.15","362876001500"
"039240","경남스틸","KOSDAQ","금속","2805","-35","-1.23","75677789220"
"053950","경남제약","KOSDAQ","제약","702","-10","-1.40","54859445316"
"011040","경동제약","KOSDAQ","제약","6080","-40","-0.65","187074097280"
"024910","경창산업","KOSDAQ","운송장비·부품","1495","-3","-0.20","53549412475"
"049720","고려신용정보","KOSDAQ","일반서비스","11000","-20","-0.18","157300000000"
"014570","고려제약","KOSDAQ","제약","4300","-60","-1.38","47300000000"
"348150","고바이오랩","KOSDAQ","일반서비스","6090","-410","-6.31","118261034010"
"950190","고스트스튜디오","KOSDAQ","IT 서비스","8950","20","0.22","116502678050"
"098460","고영","KOSDAQ","기계·장비","24650","-1350","-5.19","1692339710750"
"035290","골드앤에스","KOSDAQ","오락·문화","365","0","0.00","17401915200"
"215000","골프존","KOSDAQ","IT 서비스","60600","-200","-0.33","380290149000"
"121440","골프존홀딩스","KOSDAQ","유통","5440","-40","-0.73","233032289920"
"366030","공구우먼","KOSDAQ","섬유·의류","6160","-90","-1.44","139547716000"
"029480","광무","KOSDAQ","전기·전자","2000","-20","-0.99","127271652000"
"026910","광진실업","KOSDAQ","금속","2615","0","0.00","16750134075"
"456490","교보14호스팩","KOSDAQ","금융","2090","-15","-0.71","8778000000"
"465320","교보15호스팩","KOSDAQ","금융","2335","0","0.00","8896350000"
"482520","교보16호스팩","KOSDAQ","금융","2095","0","0.00","12779500000"
"489210","교보17호스팩","KOSDAQ","금융","2080","-10","-0.48","10774400000"
"0041B0","교보18호스팩","KOSDAQ","금융","2055","-10","-0.48","10357200000"
"0098T0","교보19호스팩","KOSDAQ","금융","2010","-25","-1.23","10854000000"
"053270","구영테크","KOSDAQ","운송장비·부품","2115","-25","-1.17","57973006575"
"066620","국보디자인","KOSDAQ","건설","23100","50","0.22","173250000000"
"043650","국순당","KOSDAQ","음식료·담배","4140","-25","-0.60","73933378560"
"006050","국영지앤엠","KOSDAQ","비금속","1247","-33","-2.58","43514368021"
"060480","국일신동","KOSDAQ","금속","1596","12","0.76","17699640000"
"078130","국일제지","KOSDAQ","종이·목재","354","4","1.14","399101678334"
"307750","국전약품","KOSDAQ","제약","3515","-35","-0.99","176369975700"
"035080","그래디언트","KOSDAQ","유통","11810","-40","-0.34","161520622380"
"318060","그래피","KOSDAQ","화학","21300","1000","4.93","236595650100"
"453450","그리드위즈","KOSDAQ","일반서비스","14970","-220","-1.45","118902967500"
"204020","그리티","KOSDAQ","섬유·의류","2310","-60","-2.53","44931421920"
"0015G0","그린광학","KOSDAQ","의료·정밀기기","16270","-1080","-6.22","190400342070"
"402490","그린리소스","KOSDAQ","전기·전자","7610","-250","-3.18","126013137680"
"114450","그린생명과학","KOSDAQ","제약","3150","-180","-5.41","63000000000"
"186230","그린플러스","KOSDAQ","금속","5850","-50","-0.85","63883099800"
"900070","글로벌에스엠","KOSDAQ","금융","426","-3","-0.70","22894930368"
"204620","글로벌텍스프리","KOSDAQ","금융","4800","115","2.45","337359984000"
"019660","글로본","KOSDAQ","유통","2620","-20","-0.76","36534152460"
"053260","금강철강","KOSDAQ","금속","4085","-30","-0.73","76471200000"
"282720","금양그린파워","KOSDAQ","건설","11800","-30","-0.25","143010100000"
"036190","금화피에스시","KOSDAQ","건설","30400","-350","-1.14","182400000000"
"049080","기가레인","KOSDAQ","전기·전자","564","1","0.18","47874207708"
"420770","기가비스","KOSDAQ","기계·장비","31250","-300","-0.95","396117437500"
"035460","기산텔레콤","KOSDAQ","전기·전자","1915","5","0.26","27915606100"
"407400","꿈비","KOSDAQ","기타제조","4460","-90","-1.98","65270021640"
"187790","나노","KOSDAQ","화학","3790","-65","-1.69","116886745700"
"121600","나노신소재","KOSDAQ","화학","56900","-2900","-4.85","694816767900"
"286750","나노실리칸첨단소재","KOSDAQ","화학","1642","-22","-1.32","44762043128"
"247660","나노씨엠에스","KOSDAQ","전기·전자","5050","-70","-1.37","21936796000"
"039860","나노엔텍","KOSDAQ","의료·정밀기기","4430","115","2.67","168752224790"
