종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","일반서비스","4670","-5","-0.11","211330384530"
"006840","AK홀딩스","KOSPI","기타금융","8950","-110","-1.21","118565670950"
"027410","BGF","KOSPI","기타금융","4025","-100","-2.42","385260083775"
"282330","BGF리테일","KOSPI","유통","112600","1100","0.99","1946167815600"
"138930","BNK금융지주","KOSPI","기타금융","15320","-80","-0.52","4816993359280"
"001460","BYC","KOSPI","섬유·의류","45700","-750","-1.61","285449055000"
"001465","BYC우","KOSPI","섬유·의류","26200","-500","-1.87","56430870000"
"001040","CJ","KOSPI","기타금융","174200","-2800","-1.58","5082633051600"
"079160","CJ CGV","KOSPI","오락·문화","6050","-70","-1.14","1001768050800"
"00104K","CJ4우(전환)","KOSPI","기타금융","156400","-2300","-1.45","661026476800"
"000120","CJ대한통운","KOSPI","운송·창고","94700","-900","-0.94","2160328976800"
"011150","CJ씨푸드","KOSPI","음식료·담배","2865","110","3.99","102941664645"
"011155","CJ씨푸드1우","KOSPI","음식료·담배","15170","-630","-3.99","3034000000"
"001045","CJ우","KOSPI","기타금융","88400","-1300","-1.45","199803713200"
"097950","CJ제일제당","KOSPI","음식료·담배","208500","0","0.00","3138797781000"
"097955","CJ제일제당 우","KOSPI","음식료·담배","138300","-200","-0.14","183583983900"
"000480","CR홀딩스","KOSPI","비금속","5020","-40","-0.79","235390259800"
"000590","CS홀딩스","KOSPI","기타금융","79400","-1300","-1.61","91665870800"
"012030","DB","KOSPI","IT 서비스","1491","-20","-1.32","299950334103"
"005830","DB손해보험","KOSPI","보험","123700","900","0.73","8757960000000"
"016610","DB증권","KOSPI","증권","10570","-30","-0.28","448658331730"
"000990","DB하이텍","KOSPI","전기·전자","65300","-100","-0.15","2840849596400"
"000300","DH오토넥스","KOSPI","운송장비·부품","1984","0","0.00","164422234240"
"001530","DI동일","KOSPI","유통","20300","-300","-1.46","400504384000"
"015590","DKME","KOSPI","기계·장비","515","0","0.00","122045495160"
"000210","DL","KOSPI","화학","38850","-1250","-3.12","814136093400"
"000215","DL우","KOSPI","화학","24900","-1150","-4.41","41984263500"
"375500","DL이앤씨","KOSPI","건설","41600","-1450","-3.37","1609654716800"
"37550L","DL이앤씨2우(전환)","KOSPI","건설","31100","-950","-2.96","65681676100"
"37550K","DL이앤씨우","KOSPI","건설","22700","-600","-2.58","47985189500"
"007340","DN오토모티브","KOSPI","전기·전자","27750","-300","-1.07","1623676503750"
"004840","DRB동일","KOSPI","화학","4805","-15","-0.31","95763650000"
"155660","DSR","KOSPI","금속","3890","-105","-2.63","62240000000"
"069730","DSR제강","KOSPI","금속","3895","-30","-0.76","56088000000"
"017860","DS단석","KOSPI","화학","19030","-500","-2.56","334627554360"
"092780","DYP","KOSPI","운송장비·부품","3330","-20","-0.60","43850971800"
"017940","E1","KOSPI","유통","86900","-600","-0.69","596134000000"
"365550","ESR켄달스퀘어리츠","KOSPI","부동산","4255","-55","-1.28","1047108695000"
"383220","F&F","KOSPI","섬유·의류","76700","2600","3.51","2938152652500"
"007700","F&F홀딩스","KOSPI","기타금융","21150","-400","-1.86","827268862050"
"114090","GKL","KOSPI","오락·문화","14480","100","0.70","895670101600"
"078930","GS","KOSPI","기타금융","55800","-1000","-1.76","5184678092400"
"006360","GS건설","KOSPI","건설","19520","-260","-1.31","1670550684800"
"001250","GS글로벌","KOSPI","유통","2360","-25","-1.05","194779683040"
"007070","GS리테일","KOSPI","유통","22300","0","0.00","1864445354500"
"078935","GS우","KOSPI","기타금융","47900","-150","-0.31","85493165400"
"499790","GS피앤엘","KOSPI","기타금융","46500","-1150","-2.41","922134106500"
"012630","HDC","KOSPI","기타금융","17800","-800","-4.30","1063402633800"
"039570","HDC랩스","KOSPI","건설","8530","-40","-0.47","221418336530"
"089470","HDC현대EP","KOSPI","화학","4345","-20","-0.46","138605500000"
"294870","HDC현대산업개발","KOSPI","건설","20650","-500","-2.36","1360986364500"
"009540","HD한국조선해양","KOSPI","기타금융","422500","-14500","-3.32","29901641510000"
"267250","HD현대","KOSPI","기타금융","200500","-3000","-1.47","15838113542500"
"267270","HD현대건설기계","KOSPI","기계·장비","105000","-4100","-3.76","1822549365000"
"443060","HD현대마린솔루션","KOSPI","일반서비스","188600","-9400","-4.75","8454789006000"
