업종명,회사수,종목수,상장주식수,시가총액_금액,시가총액_비중,거래량_수량,거래량_비중,거래대금_금액,거래대금_비중
"농업, 임업 및 어업","2","2","20654.0","179542.0","0.01","44.0","0.01","328.0","0.00"
"음식료·담배","37","47","1482336.0","4.8990752E7","1.49","10420.0","2.79","333512.0","2.02"
"섬유·의류","29","30","1040010.0","8003060.0","0.24","25920.0","6.93","73270.0","0.44"
"종이·목재","19","20","1105129.0","2463736.0","0.07","2114.0","0.57","5824.0","0.04"
"화학","103","123","3732056.0","1.54254682E8","4.68","19895.0","5.32","825470.0","5.00"
"제약","49","56","2249408.0","1.66777921E8","5.06","29711.0","7.94","679361.0","4.11"
"비금속","21","24","871311.0","5510005.0","0.17","8309.0","2.22","19887.0","0.12"
"금속","62","64","2723420.0","8.3651249E7","2.54","16250.0","4.35","504005.0","3.05"
"기계·장비","32","33","2827212.0","9.5065842E7","2.88","20772.0","5.55","906420.0","5.48"
"전기·전자","69","82","1.1564755E7","1.37819624E9","41.78","86825.0","23.22","6405354.0","38.76"
"의료·정밀기기","8","8","247394.0","3735546.0","0.11","3995.0","1.07","60379.0","0.37"
"운송장비·부품","60","64","4577128.0","3.55255805E8","10.77","21068.0","5.63","1568635.0","9.49"
"기타제조","8","8","360018.0","1391990.0","0.04","877.0","0.23","1631.0","0.01"
"전기·가스","10","10","836620.0","3.9274737E7","1.19","5257.0","1.41","257795.0","1.56"
"건설","29","38","2006607.0","2.2381098E7","0.68","14232.0","3.81","296324.0","1.79"
"유통","66","70","3481256.0","9.0367082E7","2.74","15381.0","4.11","279040.0","1.69"
"운송·창고","25","27","3475283.0","5.2200113E7","1.58","11914.0","3.19","260885.0","1.58"
"통신","5","5","1132729.0","3.2029466E7","0.97","3959.0","1.06","154912.0","0.94"
"은행","3","3","1312215.0","2.7098381E7","0.82","1965.0","0.53","39545.0","0.24"
"증권","18","29","2809864.0","4.6615357E7","1.41","9738.0","2.60","163764.0","0.99"
"보험","12","14","2372944.0","7.7688371E7","2.36","3610.0","0.97","138656.0","0.84"
"기타금융","79","98","6725654.0","4.00872565E8","12.15","24702.0","6.60","2298837.0","13.91"
"부동산","26","26","2304952.0","9637412.0","0.29","6847.0","1.83","30452.0","0.18"
"일반서비스","35","37","1754507.0","5.4739185E7","1.66","8636.0","2.31","272832.0","1.65"
"IT 서비스","26","26","1794899.0","1.21042978E8","3.67","15527.0","4.15","794620.0","4.81"
"오락·문화","14","14","807632.0","2.1365157E7","0.65","6019.0","1.61","153848.0","0.93"
"코스피","847","958","6.3615992E7","3.29878827E9","100.00","373990.0","100.00","1.6525588E7","100.00"
