업종명,회사수,종목수,상장주식수,시가총액_금액,시가총액_비중,거래량_수량,거래량_비중,거래대금_금액,거래대금_비중
"농업, 임업 및 어업","2","2","28092.0","157660.0","0.03","41.0","0.00","181.0","0.00"
"음식료·담배","47","47","1470810.0","4608636.0","0.93","88357.0","9.47","221675.0","1.68"
"섬유·의류","22","22","521904.0","1379609.0","0.28","10279.0","1.10","20566.0","0.16"
"종이·목재","10","10","1329103.0","1518910.0","0.31","3463.0","0.37","23061.0","0.17"
"출판·매체복제","2","2","62009.0","224378.0","0.05","485.0","0.05","1555.0","0.01"
"화학","126","126","3274116.0","2.7010251E7","5.45","35482.0","3.80","450490.0","3.41"
"제약","135","135","4351791.0","8.6218314E7","17.39","87697.0","9.39","1695732.0","12.85"
"비금속","15","15","706213.0","3759877.0","0.76","25840.0","2.77","107342.0","0.81"
"금속","73","74","1861031.0","9085849.0","1.83","15437.0","1.65","139543.0","1.06"
"기계·장비","184","184","5190531.0","6.8445256E7","13.81","148146.0","15.87","2142349.0","16.23"
"전기·전자","315","315","8902844.0","8.1857146E7","16.51","139647.0","14.96","1118333.0","8.47"
"전기·가스·수도","2","2","69898.0","120292.0","0.02","268.0","0.03","565.0","0.00"
"의료·정밀기기","96","96","2730652.0","2.2312045E7","4.50","59800.0","6.41","466525.0","3.53"
"운송장비·부품","76","76","2572448.0","1.2106674E7","2.44","28615.0","3.07","320986.0","2.43"
"기타제조","16","16","339191.0","1339873.0","0.27","762.0","0.08","3122.0","0.02"
"건설","29","29","971263.0","4914657.0","0.99","5282.0","0.57","51601.0","0.39"
"유통","103","103","3996366.0","1.5821679E7","3.19","29337.0","3.14","138978.0","1.05"
"운송·창고","4","4","98586.0","359905.0","0.07","260.0","0.03","917.0","0.01"
"통신","9","9","370717.0","1429398.0","0.29","899.0","0.10","4188.0","0.03"
"금융","126","127","3646602.0","2.3162397E7","4.67","60172.0","6.45","645450.0","4.89"
"부동산","3","3","108464.0","158778.0","0.03","133.0","0.01","272.0","0.00"
"일반서비스","140","140","4332959.0","7.7685715E7","15.67","87069.0","9.33","2919091.0","22.12"
"IT 서비스","228","229","5898216.0","3.822584E7","7.71","94692.0","10.14","2611373.0","19.79"
"오락·문화","55","55","1884359.0","1.3592979E7","2.74","11285.0","1.21","114450.0","0.87"
"기타","1","1","24580.0","216061.0","0.04","0.0","0.00","0.0","0.00"
"코스닥","1819","1822","5.4742748E7","4.95712179E8","100.00","933444.0","100.00","1.3198346E7","100.00"
