id,sector_id,code,name,market
1,25,095570,AJ네트웍스,KOSPI
2,23,006840,AK홀딩스,KOSPI
3,23,027410,BGF,KOSPI
4,17,282330,BGF리테일,KOSPI
5,23,138930,BNK금융지주,KOSPI
6,4,001460,BYC,KOSPI
7,4,001465,BYC우,KOSPI
8,23,001040,CJ,KOSPI
9,27,079160,"CJ CGV",KOSPI
10,23,00104K,CJ4우(전환),KOSPI
11,18,000120,CJ대한통운,KOSPI
12,3,011150,CJ씨푸드,KOSPI
13,3,011155,CJ씨푸드1우,KOSPI
14,23,001045,CJ우,KOSPI
15,3,097950,CJ제일제당,KOSPI
16,3,097955,"CJ제일제당 우",KOSPI
17,8,000480,CR홀딩스,KOSPI
18,23,000590,CS홀딩스,KOSPI
19,26,012030,DB,KOSPI
20,22,005830,DB손해보험,KOSPI
21,21,016610,DB증권,KOSPI
22,11,000990,DB하이텍,KOSPI
23,13,000300,DH오토넥스,KOSPI
24,17,001530,DI동일,KOSPI
25,10,015590,DKME,KOSPI
26,6,000210,DL,KOSPI
27,6,000215,DL우,KOSPI
28,16,375500,DL이앤씨,KOSPI
29,16,37550L,DL이앤씨2우(전환),KOSPI
30,16,37550K,DL이앤씨우,KOSPI
31,11,007340,DN오토모티브,KOSPI
32,6,004840,DRB동일,KOSPI
33,9,155660,DSR,KOSPI
34,9,069730,DSR제강,KOSPI
35,6,017860,DS단석,KOSPI
36,13,092780,DYP,KOSPI
37,17,017940,E1,KOSPI
38,24,365550,ESR켄달스퀘어리츠,KOSPI
39,4,383220,F&F,KOSPI
40,23,007700,F&F홀딩스,KOSPI
41,27,114090,GKL,KOSPI
42,23,078930,GS,KOSPI
43,16,006360,GS건설,KOSPI
44,17,001250,GS글로벌,KOSPI
45,17,007070,GS리테일,KOSPI
46,23,078935,GS우,KOSPI
47,23,499790,GS피앤엘,KOSPI
48,23,012630,HDC,KOSPI
49,16,039570,HDC랩스,KOSPI
50,6,089470,HDC현대EP,KOSPI
51,16,294870,HDC현대산업개발,KOSPI
52,23,009540,HD한국조선해양,KOSPI
53,23,267250,HD현대,KOSPI
54,10,267270,HD현대건설기계,KOSPI
55,25,443060,HD현대마린솔루션,KOSPI
56,10,071970,HD현대마린엔진,KOSPI
57,11,322000,HD현대에너지솔루션,KOSPI
58,10,042670,HD현대인프라코어,KOSPI
59,11,267260,HD현대일렉트릭,KOSPI
60,13,329180,HD현대중공업,KOSPI
61,16,097230,HJ중공업,KOSPI
62,16,014790,"HL D&I",KOSPI
63,17,003580,HLB글로벌,KOSPI
64,13,204320,HL만도,KOSPI
65,23,060980,HL홀딩스,KOSPI
66,18,011200,HMM,KOSPI
67,25,035000,HS애드,KOSPI
68,16,002460,HS화성,KOSPI
69,23,487570,HS효성,KOSPI
70,6,298050,HS효성첨단소재,KOSPI
71,27,003560,IHQ,KOSPI
72,25,015360,INVENI,KOSPI
73,23,175330,JB금융지주,KOSPI
74,7,234080,JW생명과학,KOSPI
75,7,001060,JW중외제약,KOSPI
76,7,001067,JW중외제약2우B,KOSPI
77,7,001065,JW중외제약우,KOSPI
78,23,096760,JW홀딩스,KOSPI
79,9,008970,KBI동양철관,KOSPI
80,23,105560,KB금융,KOSPI
81,23,415640,KB발해인프라,KOSPI
82,24,432320,KB스타리츠,KOSPI
83,6,002380,KCC,KOSPI
84,8,344820,KCC글라스,KOSPI
85,18,009070,KCTC,KOSPI
86,23,009440,KC그린홀딩스,KOSPI
87,10,119650,KC코트렐,KOSPI
88,11,092220,KEC,KOSPI
89,13,003620,KG모빌리티,KOSPI
90,9,016380,KG스틸,KOSPI
91,6,001390,KG케미칼,KOSPI
92,11,033180,"KH 필룩스",KOSPI
93,9,001940,KISCO홀딩스,KOSPI
94,6,025000,KPX케미칼,KOSPI
95,6,092230,KPX홀딩스,KOSPI
96,13,000040,KR모터스,KOSPI
97,18,044450,KSS해운,KOSPI
98,19,030200,KT,KOSPI
99,3,033780,KT&G,KOSPI
100,26,058850,KTcs,KOSPI
101,26,058860,KTis,KOSPI
102,4,093050,LF,KOSPI
103,23,003550,LG,KOSPI
104,11,034220,LG디스플레이,KOSPI
105,6,051900,LG생활건강,KOSPI
106,6,051905,LG생활건강우,KOSPI
107,26,064400,LG씨엔에스,KOSPI
108,11,373220,LG에너지솔루션,KOSPI
109,23,003555,LG우,KOSPI
110,19,032640,LG유플러스,KOSPI
111,11,011070,LG이노텍,KOSPI
112,11,066570,LG전자,KOSPI
113,11,066575,LG전자우,KOSPI
114,27,037560,LG헬로비전,KOSPI
115,6,051910,LG화학,KOSPI
116,6,051915,LG화학우,KOSPI
117,9,079550,LIG넥스원,KOSPI
118,23,006260,LS,KOSPI
119,11,010120,"LS ELECTRIC",KOSPI
120,17,000680,LS네트웍스,KOSPI
121,23,229640,LS에코에너지,KOSPI
122,11,108320,LX세미콘,KOSPI
123,17,001120,LX인터내셔널,KOSPI
124,6,108670,LX하우시스,KOSPI
125,6,108675,LX하우시스우,KOSPI
126,23,383800,LX홀딩스,KOSPI
127,23,38380K,LX홀딩스1우,KOSPI
128,3,023150,MH에탄올,KOSPI
129,26,035420,NAVER,KOSPI
130,26,181710,NHN,KOSPI
131,24,400760,NH올원리츠,KOSPI
